"ndc","rxcui","in_rxcui","has_min","in_tty","in_name","in_synonym","in_umlscui","atc5","ddd","u","adm_r","whocc_note"
"00002060440",212797,3007,FALSE,"IN","cycloserine",NA,NA,"J04AB01",NA,NA,NA,NA
"00002140701",853004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002148501",201860,78903,FALSE,"IN","capreomycin",NA,NA,"J04AB30",NA,NA,NA,NA
"00002322830",352319,38400,FALSE,"IN","atomoxetine",NA,NA,"N06BA09",80,"mg","O",NA
"00002322930",352320,38400,FALSE,"IN","atomoxetine",NA,NA,"N06BA09",80,"mg","O",NA
"00002323560",596928,72625,FALSE,"IN","duloxetine",NA,NA,"N06AX21",NA,NA,NA,NA
"00002323830",352318,38400,FALSE,"IN","atomoxetine",NA,NA,"N06BA09",80,"mg","O",NA
"00002323930",352321,38400,FALSE,"IN","atomoxetine",NA,NA,"N06BA09",80,"mg","O",NA
"00002324001",596932,72625,FALSE,"IN","duloxetine",NA,NA,"N06AX21",NA,NA,NA,NA
"00002324030",596932,72625,FALSE,"IN","duloxetine",NA,NA,"N06AX21",NA,NA,NA,NA
"00002324033",596932,72625,FALSE,"IN","duloxetine",NA,NA,"N06AX21",NA,NA,NA,NA
"00002411230",212405,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002411233",212405,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002411533",153046,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002411633",153047,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002411733",153048,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002416530",1490067,72143,FALSE,"IN","raloxifene",NA,NA,"G03XC01",NA,NA,NA,NA
"00002418430",1490067,72143,FALSE,"IN","raloxifene",NA,NA,"G03XC01",NA,NA,NA,NA
"00002445385",754506,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002445485",754503,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
